state,city,institute_carnegie_classification,school,primary_investigator,Position,website,research_interest,postdoc_wanted
California,San Diego,R1,University of California San Diego,Dionicio Siegel,,https://www.siegellabgroup.org,synthetic organic,
California,Santa Barbara,R1,University of California Santa Barbara,Donald Aue,,,"physical organic,mass spectrometry",
California,La Jolla,,Scripps Reasearch Institute,Donna Blackmond,,https://www.scripps.edu/blackmond/,"Reaction Progress Kinetics,catalyst enantiopurity,synthetic organic",
California,San Diego,R2,San Diego State University,Douglas Grotjahn,,http://grotjahngroup.org/,synthetic organic,
California,Irvine,R1,University of California Irvine,Elizabeth Bess,,https://www.besslab.com,synthetic organic,
California,Irvine,R1,University of California Irvine,Elizabeth Jarvo,,https://sites.uci.edu/jarvogroup/,synthetic organic,
California,Los Angeles,R1,University of California Los Angeles,Ellen Sletten,,,"fluorinated materials for diagnostics,nanoscience and supramoleulcar,polymer photophysics pharmacology",
California,San Diego,R1,University of California San Diego,Emmanuel Theodorakis,,http://theodorakisgroup.ucsd.edu/,"methods and strategies in natural products,synthetic organic",
California,San Diego,R1,University of California San Diego,Ferguson Fleur,,,,
California,Pasadena,R1,California Institute of Technology,Frances Arnold,Professor,http://fhalab.caltech.edu/,"synthetic enzymes,biocatalysis",
California,Santa Barbara,R1,University of California Santa Barbara,Fred Wudl,,,"conjugated polymers,fullerenes,self-meding polymers,plastic colar cells",
California,Los Angeles,R1,University of Southern California,G. K. Surya Prakash,,,"organosilicon and organofluorine chemistry,carbon dioxide capture,methanol economy",
California,Los Angeles,R1,University of California Los Angeles,Garcia-Garibay,,,"solid and crystalline materials,solid state materials,nanoparticles for photochemical processes",
California,Pasadena,R1,California Institute of Technology,Gregory Fu,Professor,http://fugroup.caltech.edu/,"enantioselective synthesis,organometallic,synthetic organic",
California,Santa Barbara,R1,University of California Santa Barbara,Guillermo Bazan,,,"organometallic,optoelectronics,oligomerization and polymerization,materials",
California,San Diego,R1,University of California San Diego,Guy Bertrand,Professor,http://bertrandgroup.ucsd.edu/,,
California,Los Angeles,R1,University of California Los Angeles,Heather Maynard,,,"protein polymer conjugates,smart materials,stimuli responsive materials",
California,Los Angeles,R1,University of California Los Angeles,Hosea Nelson,,http://www.thenelsonlab.com/,"target driven organic synthesis,reaction development,supramolecular organometallic  catalysts,synthetic organic",
California,San Francisco,,University of California San Francisco,Ian Seiple,,,"small molecule synthesis,chemical libraries",
California,San Francisco,,University of California San Francisco,Jack Taunton,,,cell function with electrophilic chemical libraries,
California,Irvine,R1,University of California Irvine,James Nowick,,http://www.chem.uci.edu/~jsnowick/groupweb/,"Unnatural amino acids,peptide synthesis,synthetic organic",
California,Davis,R1,University of California Davis,Jaquelyn Gervay-Hague,Professor,https://chemistry.ucdavis.edu/people/jacquelyn-gervay-hague,"natural product synthesis,phytoceuticals,synthetic organic",
California,Davis,R1,University of California Davis,Jared Shaw,Professor,https://shaw.faculty.ucdavis.edu,"natural product synthesis,chemical biology,synthetic organic",
California,San Francisco,,University of California San Francisco,Jason Gestwicki,,,"protein homeostatsis,protein misfolding disease",
California,San Francisco,,University of California San Francisco,Jason Sello,,https://pharmacy.ucsf.edu/jason-sello,"biological small molecules,synthetic organic",
California,Berkeley,R1,University of California Berkeley,Jay Keasling,,,,
California,San Diego,R2,San Diego State University,Jeffrey Gustafson,,,,
California,Irvine,R1,University of California Irvine,Jenn Prescher,,https://www.chem.uci.edu/~jpresche/,"noninvasive imaging,bioorthogonal,bioluminescent probes,synthetic organic",
California,La Jolla,,Scripps Reasearch Institute,Jin-Quan Yu,Professor,http://www.scripps.edu/chem/yu/,"C-H activation,sustainable catalysis,synthetic organic",
California,Berkeley,R1,University of California Berkeley,John Hartwig,Professor,http://www.cchem.berkeley.edu/jfhgrp/,"transition metal catalysts,artificial metalloenzymes,synthetic organic",
California,San Diego,R1,University of California San Diego,Joshua Figueroa,,,small molecule activation,
California,Stanford,R1,Stanford University,Justin Du Bois,Professor,https://duboislab.stanford.edu/,"natural product synthesis,C-H functionalization,de novo chemical synthesis,synthetic organic",
California,La Jolla,,Scripps Reasearch Institute,K. Barry Sharpless,Professor,,"synthetic catalysts,click chemistry",
California,San Diego,R1,University of California San Diego,Kamil Godula,,,glycomaterials,
California,La Jolla,,Scripps Reasearch Institute,Keary Engle,Professor,https://englelab.com/,"catalysis,synthetic organic",
California,Los Angeles,R1,University of California Los Angeles,Kendall Houk,,,,
California,Irvine,R1,University of California Irvine,Kenneth Shea,,http://chem.ps.uci.edu/~kjshea/index.php,synthetic organic,
California,Los Angeles,R1,University of California Los Angeles,Keriann Backus,,,"chemical probe synthesis,activity based protein profiling,chemical proteomics",
California,San Francisco,,University of California San Francisco,Kevan Shokat,,,"cellular signaling cascades,protein engineering",
California,Riverside,R1,University of California Riverside,Kevin Kou,Assistant Professor,http://koulab.org/,"natural products,catalysis,organometallic",
California,La Jolla,,Scripps Reasearch Institute,Kim Janda,Professor,http://www.scripps.edu/chem/janda/,"solid phase organic synthesis,synthetic organic",
California,Los Angeles,R1,University of Southern California,Kyung Jung,,http://chem.usc.edu/faculty/Jung.html,"RNA taregted drug delivery,C-H bond activation of methane,synthetic organic",
California,Irvine,R1,University of California Irvine,Larry Overman,,https://faculty.sites.uci.edu/overman/,"Total synthesis,synthetic organic",
California,San Francisco,,University of California San Francisco,Lei Wang,,,unnatural amino acid,
California,Santa Barbara,R1,University of California Santa Barbara,Liming Zhang,,https://labs.chem.ucsb.edu/zhang/liming/,"gold catalysis,natural product synthesis,synthetic organic",
California,Santa Cruz,R1,University of California Santa Cruz,Lokey,,,combinatorial synthesis,
California,Santa Cruz,R1,University of California Santa Cruz,MacMillan,,,"natural products,cancer biology,structure elucidation",
California,Davis,R1,University of California Davis,Mark Kurth,,https://chemistry.ucdavis.edu/people/mark-kurth,synthetic organic,
California,Davis,R1,University of California Davis,Mark Mascal,Professor,http://chemgroups.ucdavis.edu/~mascal/,"organic synthesis,bioenergy,synthetic organic",True
California,Stanford,R1,Stanford University,Matthew Kanan,,https://kananlab.stanford.edu/,"feedstock petrochemicals,green chemistry",
California,Los Angeles,R1,University of Southern California,Matthew Pratt,,,"protein posttranslational modifications,glycosylation,bioorthogonal / synthetic protein",
California,Pasadena,R1,California Institute of Technology,Maxwell Robb,Assistant Professor,https://www.robbgroup.caltech.edu/,Polymer mechanochemistry,
California,Santa Cruz,R1,University of California Santa Cruz,McKinnie,,,DNA / RNA Proteins,
California,Los Angeles,R1,University of Southern California,Megan Fieser,,,"molecular catalysts,polymers",
California,San Diego,R1,University of California San Diego,Michael Burkart,Professor,http://burkartlab.ucsd.edu,"natural product synthesis/biosynthesis,biological enzymology,emtabolic engineering,synthetic organic",
California,San Francisco,,University of California San Francisco,Michael Evans,,,oncology biomarkers with molecular imaging,
California,Los Angeles,R1,University of California Los Angeles,Michael Jung,,http://www.chem.ucla.edu/~jung/home.html,"total synthesi of natural products,physical organic,radical cyclization fragmentation,synthetic organic",
California,Riverside,R1,University of California Riverside,Michael Pirrung,,https://sites.google.com/ucr.edu/pirrung/,"Medicinal Chemistry,molecular diversity,photochemistry,synthetic organic",
California,Davis,R1,University of California Davis,Michael Toney,Professor,https://sites.google.com/site/mdtoneylab/,"enzyme catalysis,biofuel cells,functional genomes",
California,Berkeley,R1,University of California Berkeley,Michelle Chang,,,"feedstock,biosynthetic methods,c-f bond formation",
California,San Diego,R2,San Diego State University,Mikael Bergdahl,,,,
California,San Diego,R1,University of California San Diego,Nathan Romero,Assistant Professor,http://romeropolymerlab.ucsd.edu//,Polymer synthesis and application,
California,San Diego,R1,University of California San Diego,Neal Devaraj,Professor,,"Biomimetic Chemistry,molecular imaging",
California,Los Angeles,R1,University of California Los Angeles,Neil Garg,,https://garg.chem.ucla.edu/,synthetic organic,
California,Davis,R1,University of California Davis,Neil Schore,Emeritus,,"organic synthesis,dendrimers,organometallics",
California,Los Angeles,R1,University of Southern California,Nicos Petasis,,http://chem.usc.edu/faculty/Petasis.html,"novel chemical reactions,total synthesis,synthetic organic",
California,Stanford,R1,Stanford University,Noah Burns,Associate Professor,http://web.stanford.edu/group/burnslab/,"total synthesis of natural products,selective halogenation,chemo regio enantioselectivity,synthetic organic",
California,Los Angeles,R1,University of California Los Angeles,Ohyun Kwon,,http://www.chem.ucla.edu/ohyunkwon/,"methodolgy,asymmetric organocatalysis,chiral catalyst design,taregt and diversity oriented synthesis of natural products,synthetic organic",
California,San Francisco,,University of California San Francisco,Pam England,,,"ion channel structure function,plasticity",
California,Los Angeles,R1,University of California Los Angeles,Patrick Harran,,http://www.chem.ucla.edu/harran/,"biosynthetic approach,natural product synthesis,synthetic organic",
California,Stanford,R1,Stanford University,Paul Wender,,https://web.stanford.edu/group/pawender/,"step economy,molecular transporters for  drug delivery,function oriented synthesis,synthetic organic",
California,La Jolla,,Scripps Reasearch Institute,Peng Wu,,https://www.scripps.edu/pwu/,synthetic organic,
California,Davis,R1,University of California Davis,Peter Beal,Professor,https://beal.faculty.ucdavis.edu,"nucleic acids,chemical biology,synthetic organic",
California,La Jolla,,Scripps Reasearch Institute,Phil Baran,Professor,https://baranlab.org,"Natural product synthesis,step economy,synthetic organic",
California,Santa Barbara,R1,University of California Santa Barbara,R. Daniel Little,,,"reactive intermediates,electrocatalytic,radicals,cyclic peroxides,green chemistry,polymer bound redox",
California,La Jolla,,Scripps Reasearch Institute,Ramanarayanan Krishnamurthy,Associate Professor,,"functional monomers,synthetic nucleic acids and natural biopolymers",
California,Santa Cruz,R1,University of California Santa Cruz,Raskatov,,,"NMR,Molecular modeling,biology assayproducts",
California,Santa Cruz,R1,University of California Santa Cruz,Rebecca Braslau,,http://braslau.chemistry.ucsc.edu,synthetic organic,
California,Irvine,R1,University of California Irvine,Richard Chamberlin,,,natural product,
California,Riverside,R1,University of California Riverside,Richard Hooley,,,"supramolecular chemistry,molecular self-assembly,biosensing",
California,Los Angeles,R1,University of Southern California,Richard Roberts,,,"protein and peptides,mRNA display",
California,Berkeley,R1,University of California Berkeley,Richmond Sarpong,Professor,http://www.cchem.berkeley.edu/rsgrp/,"natural product synthesis,biomimetic,C-C bond formation,synthetic organic",
California,Pasadena,R1,California Institute of Technology,Robert Grubbs,Professor,https://grubbsgroup.caltech.edu,"polymer synthesis,metal catalyzed reactions,olefin metathesis,synthetic organic",
California,Merced,R2,University of California Merced,Ryan Baxter,,https://www.baxterlab.com/,"feedstock,metal catalyzed SET,synthetic organic",
California,La Jolla,,Scripps Reasearch Institute,Ryan Shenvi,,http://www.scripps.edu/chem/shenvi/Front.html,"computational retrosynthesis,bioinorganic,hydrogen atom transfer,synthetic organic",
California,Pasadena,R1,California Institute of Technology,Sarah Reisman,Professor,http://reismangroup.caltech.edu/,"Natural product synthesis,asymmetric catalysis,synthetic organic",
California,Irvine,R1,University of California Irvine,Scott Rychnovsky,,http://www.chem.uci.edu/~srychnov/Rychnovsky/,"natural product total synthesis,synthetic organic",
California,Irvine,R1,University of California Irvine,Sergey Pronin,,https://faculty.sites.uci.edu/pronin/,synthetic organic,
California,San Diego,R1,University of California San Diego,Seth Cohen,,,"bioorganic,coordination,supramolecular materials",
California,Davis,R1,University of California Davis,Sheila David,Professor,,DNA repair,
California,San Francisco,,University of California San Francisco,Sheng Ding,,,"stem cell maintenance,characterizing small molecules",
California,Irvine,R1,University of California Irvine,Shiou Chuan (Sheryl) Tsai,,https://www.faculty.uci.edu/profile.cfm?faculty_id=4944,"biosynthesize natural products,combinatorial biosynthesis,de novo",
California,Los Angeles,R1,University of Southern California,Sri Narayan,,,"electrochemistry,renewable electricity generation",
California,Irvine,R1,University of California Irvine,Suzanne Blum,,http://chem.ps.uci.edu/~blumlab/main.htm,synthetic organic,
California,San Diego,R1,University of California San Diego,Tadeusz Molinski,,http://www-chem.ucsd.edu/faculty/profiles/molinski_tadeusz_f.html,"Natural Product - marine,NMR,synthetic organic",
California,Los Angeles,R1,University of California Los Angeles,Tang Yi,,https://sites.google.com/site/yitanglab/home,"natural product biosynthesis and biocatalysis,combinatorial biosynthesis,nanotechnology,biomaterials,drug delivery",
California,Santa Barbara,R1,University of California Santa Barbara,Thomas Bruice,,,"nucleoside material chemistry,computation chemistry of enzyme catalysis",
California,San Diego,R2,San Diego State University,Thomas Cole,,,,
California,San Diego,R1,University of California San Diego,Thomas Hermann,,,RNA as a drug target,
California,Berkeley,R1,University of California Berkeley,Thomas Maimone,,http://www.cchem.berkeley.edu/tjm/Lab_website/Home.html,"natural product synthesis,transition metal mediated catalysts,flucional ligand structures,synthetic organic",
California,Santa Barbara,R1,University of California Santa Barbara,Thomas Pettus,,https://labs.chem.ucsb.edu/pettus/tom/Pettus_Group/Pettus_Group/Welcome.html,"natural products,enantioselective synthesis of buildign blocks,synthetic organic",
California,Los Angeles,R1,University of California Los Angeles,Timothy Deming,,,"biomimetic materials based on polypeptides,self-assembling  polymers,nanoscale strucutre",
California,Los Angeles,R1,University of Southern California,Travis Williams,,http://chem.usc.edu/~williams_group/index.html,"organometallics,waste polymers and material,catalytic systems for synthetic fuels,synthetic organic",
California,San Diego,R1,University of California San Diego,Valerie Schmidt,,http://schmidtgroup.ucsd.edu/people.html,synthetic organic,
California,Los Angeles,R1,University of Southern California,valery folkin,,,organic synthesis,
California,Irvine,R1,University of California Irvine,Vy Dong,,http://www.chem.uci.edu/~dongv/,synthetic organic,
California,San Diego,R1,University of California San Diego,William Fenical,,,,
California,Davis,R1,University of California Davis,Xi Chen,Professor,,"glycoscience,chemical biology",
California,Stanford,R1,Stanford University,Yan Xia,Associate Professor,,materials and polymer chemistry,
California,Santa Barbara,R1,University of California Santa Barbara,Yang Yang,,https://yang.chem.ucsb.edu/,"macromolecular synthesis,cascade reactions,photochromic material,high strain rate sensors,synthetic organic",
California,Los Angeles,R1,University of California Los Angeles,Yves Rubin,,,"fullerene,ferromagnets,high spin networks,stable organic radicals",
California,Santa Barbara,R1,University of California Santa Barbara,,,,"enzymes as biocatalysts,protein engineering,biomimetic approaches",
Colorado,Fort Collins,R1,Colorado State University,Alan Kennan,,,"biological recognition motifs,catalytic peptides,molecular recognition",
Colorado,Fort Collins,R1,Colorado State University,Andy McNally,,https://www.mcnallygroup.org,"dearomatized intermediates,heterocyclic chemistry,organophosphorous chemistry,synthetic organic",
Colorado,Denver,,University of Denver,Brady Worrell,,https://www.bradyworrell.com,,
Colorado,Denver,,University of Denver,Brian Michel,,http://portfolio.du.edu/Brian.Michel,synthetic organic,
Colorado,Boulder,R1,University of Colorado,David Walba,,,"supramolecular stereochemistry,liquid crystal science,chirality",
Colorado,Fort Collins,R1,Colorado State University,Debbie Crans,,,"microemulsion drug membrane studies,spectroscopy,peptide complexation",
Colorado,Boulder,R1,University of Colorado,Douglas Gin,,,"renewable energy,physical organic",
Colorado,Fort Collins,R1,Colorado State University,Eugene Chen,,,"recyclable polymers,lewis pair polymerization,catalysis",
Colorado,Fort Collins,R1,Colorado State University,Garret Miyake,,,"catalysis,polymers",
Colorado,Fort Collins,R1,Colorado State University,Jeff Bandar,,,"Catalysts,natural products,industrial chemical synthesis",
Colorado,Boulder,R1,University of Colorado,Jihye Park,,,"Nanotechnology materials,photochemical,renewable energy",
Colorado,Denver,R1,University of Colorado Denver,John Fisk,,,bacterial protein translation,
Colorado,Boulder,R1,University of Colorado,Josef Michl,,,"Photochemistry,Organometallic,Physical Organic",
Colorado,Denver,R1,University of Colorado Denver,Lee,,,"nanomedicine,drug delivery",
Colorado,Denver,R1,University of Colorado Denver,Liu,,,"organometallic,metal catalyzed mechanisms",
Colorado,Boulder,R1,University of Colorado,Maciej Walczak,,https://www.walczaklab.org/,"synthesis,chemical biology,Physical Organic,synthetic organic",
Colorado,Boulder,R1,University of Colorado,Michael Marshak,,,"Transition metal catalysis,renewable energy,nanoscience",
Colorado,Boulder,R1,University of Colorado,Oana Luca,,,"Physical inorganic,solar fuel conversion,organometallic",
Colorado,Denver,R1,University of Colorado Denver,Reed,,,,
Colorado,Denver,R1,University of Colorado Denver,Resendiz,,,structure function relationship in RNA,
Colorado,Fort Collins,R1,Colorado State University,Robert Paton,,,"asymmetric synthesis,statistical modeling,data mining",
Colorado,Boulder,R1,University of Colorado,Tarek Sammakia,,https://www.colorado.edu/lab/sammakiagroup/,"organic synthesis,synthetic organic",
Colorado,Fort Collins,R1,Colorado State University,Travis Bailey,,,"thermodynamics,copolymer composite materials,self-assembly processes",
Colorado,Boulder,R1,University of Colorado,Wei Zhang,,http://alpha.chem.umb.edu/faculty/zhang/code/index.htm,"dynamic covalent chemistry,energy storage,nanotechnology materials,synthetic organic",
Colorado,Boulder,R1,University of Colorado,Xiang Wang,,https://www.colorado.edu/lab/wanggroup/,"chemical biology,synthesis,synthetic organic",
Colorado,Fort Collins,R1,Colorado State University,Yian Shi,,https://sites.chem.colostate.edu/shilab/,"natural products,enzymatic reaction mechanism,synthetic organic",
Connecticut,Storrs,R1,University of Connecticut,Alexandru Asandei,,,"monomers and polymers,ring opening polymerization,fluoro and biodegradable polymers",
Connecticut,Storrs,R1,University of Connecticut,Ashis Basu,,,"mechanism of action,DNA structure effects relationship",
Connecticut,Storrs,R1,University of Connecticut,Christian Bruckner,,,"pyrrole,porphyrins heterocycles,light absorbing and emitting properties",
Connecticut,New Haven,R1,Yale University,Craig Crews,,http://crewslab.yale.edu,"enzyme inhibition,controlled proteolysis,synthetic organic",
Connecticut,New Haven,R1,Yale University,David Spiegel,,https://spiegellab.yale.edu/,"natural products synthesis,synthetic organic",
Connecticut,New Haven,R1,Yale University,Dieter Soll,,,protein biosynthesis,
Connecticut,Storrs,R1,University of Connecticut,Douglas Adamson,,,"materials synthesis,high vacuum anionic polymerization",
Connecticut,Storrs,R1,University of Connecticut,Eugene Pinkhassik,,,"nanomaterials and nanodevices,medical imaging and environmental sesning",
Connecticut,New Haven,R1,Yale University,Frederick Ziegler,,,radical reactions,
Connecticut,Storrs,R1,University of Connecticut,Gael Ung,,,"lanthanides,fluorination of small molecules,persistent radicals for polymerization",
Connecticut,Storrs,R1,University of Connecticut,Gregory Sotzing,,,"electrochromic polymers,materials,DNA nanomaterials",
Connecticut,New Haven,R1,Yale University,James Mayer,,,proton coupled electron trasnfer reaction,
Connecticut,New Haven,R1,Yale University,Jason Crawford,,,"genome sequence methods,biosynthetic gene clusters,enzymatic conversions",
Connecticut,New Haven,R1,Yale University,John Faller,,,"transition metal complexes,organometallic,chirality,asymmetric catalysis",
Connecticut,New Haven,R1,Yale University,Jon Ellman,,https://ellman.chem.yale.edu/,"catalytic conversion of C-H to C-C bonds,enzyme function,synthetic organic",
Connecticut,New Haven,R1,Yale University,Kenneth Wiberg,,,"chiral,chrial resolution,optical rotation",
Connecticut,Storrs,R1,University of Connecticut,Kerry Gilmore,,,"flow chemistry,chemical engineering,multistep flow synthesis",
